op name, kernel name, exec duration (ms), global size, local size, output size
ffn_norm-8,kernel_rms_norm_mul,0.005500,2048x1x1,1024x1x1,2048x2x1x1
ffn_gate-8,kernel_transpose_32_16,0.004800,512x2x0,1x16x0,6144x2x1x1
ffn_gate-8,kernel_gemm_noshuffle_q4_0_f32,0.333500,1x1536x1,1x128x1,6144x2x1x1
ffn_up-8,kernel_transpose_32_16,0.004900,512x2x0,1x16x0,6144x2x1x1
ffn_up-8,kernel_gemm_noshuffle_q4_0_f32,0.333000,1x1536x1,1x128x1,6144x2x1x1
ffn_swiglu-8,kernel_swiglu,0.006300,1024x1x1,512x1x1,6144x2x1x1
ffn_out-8,kernel_transpose_32_16,0.010200,1536x2x0,1x16x0,2048x2x1x1
ffn_out-8,kernel_gemm_noshuffle_q4_0_f32,1.013000,1x512x1,1x128x1,2048x2x1x1
l_out-8,kernel_add,0.014100,128x1x1,64x1x1,2048x2x1x1
attn_norm-9,kernel_rms_norm_mul,0.005900,2048x1x1,1024x1x1,2048x2x1x1
Qcur-9,kernel_transpose_32_16,0.004900,512x2x0,1x16x0,2048x2x1x1
Qcur-9,kernel_gemm_noshuffle_q4_0_f32,0.339600,1x512x1,1x128x1,2048x2x1x1
Qcur_normed-9,kernel_rms_norm_mul,0.004800,2048x2x1,128x1x1,128x16x2x1
Qcur-9,kernel_rope_neox_f32,0.003900,1024x2x1,64x1x1,128x16x2x1
Vcur-9,kernel_transpose_32_16,0.005500,512x2x0,1x16x0,1024x2x1x1
Vcur-9,kernel_gemm_noshuffle_q4_0_f32,0.330600,1x256x1,1x128x1,1024x2x1x1
Kcur-9,kernel_transpose_32_16,0.004700,512x2x0,1x16x0,1024x2x1x1
Kcur-9,kernel_gemm_noshuffle_q4_0_f32,0.324500,1x256x1,1x128x1,1024x2x1x1
Kcur_normed-9,kernel_rms_norm_mul,0.004100,1024x2x1,128x1x1,128x8x2x1
Kcur-9,kernel_rope_neox_f32,0.002800,512x2x1,64x1x1,128x8x2x1
cache_k_l9 (view),kernel_set_rows_f16_i64,0.002900,2048x1x1,1024x1x1,1024x40192x1x1
cache_v_l9 (view),kernel_set_rows_f16_i64,0.002800,2048x1x1,1024x1x1,1024x40192x1x1
node_340,flash_attn_blk_f16,0.007400,8x1x1,0x0x0,128x16x2x1
node_340,flash_attn_f32_f16,0.061500,128x16x0,128x1x0,128x16x2x1
node_342,kernel_transpose_32_16,0.004900,512x2x0,1x16x0,2048x2x1x1
node_342,kernel_gemm_noshuffle_q4_0_f32,0.326300,1x512x1,1x128x1,2048x2x1x1
ffn_inp-9,kernel_add,0.013000,128x1x1,64x1x1,2048x2x1x1
ffn_norm-9,kernel_rms_norm_mul,0.005500,2048x1x1,1024x1x1,2048x2x1x1
ffn_gate-9,kernel_transpose_32_16,0.004700,512x2x0,1x16x0,6144x2x1x1
ffn_gate-9,kernel_gemm_noshuffle_q4_0_f32,0.341700,1x1536x1,1x128x1,6144x2x1x1
ffn_up-9,kernel_transpose_32_16,0.005200,512x2x0,1x16x0,6144x2x1x1
ffn_up-9,kernel_gemm_noshuffle_q4_0_f32,0.344600,1x1536x1,1x128x1,6144x2x1x1
ffn_swiglu-9,kernel_swiglu,0.007000,1024x1x1,512x1x1,6144x2x1x1
ffn_out-9,kernel_transpose_32_16,0.010200,1536x2x0,1x16x0,2048x2x1x1
ffn_out-9,kernel_gemm_noshuffle_q4_0_f32,0.978700,1x512x1,1x128x1,2048x2x1x1
l_out-9,kernel_add,0.013200,128x1x1,64x1x1,2048x2x1x1
attn_norm-10,kernel_rms_norm_mul,0.005300,2048x1x1,1024x1x1,2048x2x1x1
Qcur-10,kernel_transpose_32_16,0.004700,512x2x0,1x16x0,2048x2x1x1
Qcur-10,kernel_gemm_noshuffle_q4_0_f32,0.326300,1x512x1,1x128x1,2048x2x1x1
Qcur_normed-10,kernel_rms_norm_mul,0.004700,2048x2x1,128x1x1,128x16x2x1
Qcur-10,kernel_rope_neox_f32,0.003000,1024x2x1,64x1x1,128x16x2x1
Vcur-10,kernel_transpose_32_16,0.004800,512x2x0,1x16x0,1024x2x1x1
Vcur-10,kernel_gemm_noshuffle_q4_0_f32,0.325600,1x256x1,1x128x1,1024x2x1x1
Kcur-10,kernel_transpose_32_16,0.005300,512x2x0,1x16x0,1024x2x1x1
Kcur-10,kernel_gemm_noshuffle_q4_0_f32,0.329600,1x256x1,1x128x1,1024x2x1x1
Kcur_normed-10,kernel_rms_norm_mul,0.004300,1024x2x1,128x1x1,128x8x2x1
Kcur-10,kernel_rope_neox_f32,0.003800,512x2x1,64x1x1,128x8x2x1
cache_k_l10 (view),kernel_set_rows_f16_i64,0.002800,2048x1x1,1024x1x1,1024x40192x1x1
cache_v_l10 (view),kernel_set_rows_f16_i64,0.002900,2048x1x1,1024x1x1,1024x40192x1x1
node_375,flash_attn_blk_f16,0.007200,8x1x1,0x0x0,128x16x2x1
node_375,flash_attn_f32_f16,0.063000,128x16x0,128x1x0,128x16x2x1
